Year	Revenue Type	State	Commodity	Product Description	Sales Volume
2011	Non Revenue Volumes	Offshore Gulf	Gas (mcf)		17484318.50
2011	Non Revenue Volumes	Offshore Gulf	Gas (mcf)		300579661.79
2011	Non Revenue Volumes	Offshore Gulf	Gas (mcf)		277296.14
2011	Non Revenue Volumes	Offshore Gulf	NGL (gal)		18859998.01
2011	Non Revenue Volumes	Offshore Gulf	NGL (gal)		348166632.46
2011	Non Revenue Volumes	Offshore Gulf	NGL (gal)		1564010.96
2011	Non Revenue Volumes	Offshore Gulf	Oil (bbl)		278236.55
2011	Non Revenue Volumes	Offshore Gulf	Oil (bbl)		152861709.93
2011	Non Revenue Volumes	Offshore Gulf	Oil (bbl)		910428.55
2012	Reported Royalties	Offshore Gulf	Gas (mcf)	Coal Bed Methane (mcf)	-262.96
2012	Reported Royalties	Offshore Gulf	Gas (mcf)	Flash Gas (mcf)	-10849970.42
2012	Reported Royalties	Offshore Gulf	Gas (mcf)	Fuel Gas (mcf)	8148031.85
2012	Reported Royalties	Offshore Gulf	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	368635.48
2012	Reported Royalties	Offshore Gulf	Gas (mcf)	Processed (Residue) Gas (mcf)	800864290.71
2012	Reported Royalties	Offshore Gulf	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	224402232.76
2012	Reported Royalties	Offshore Gulf	NGL (gal)	Gas Plant Products (gal)	1540433201.73
2012	Reported Royalties	Offshore Gulf	Oil (bbl)	Condensate (bbl)	38723119.62
2012	Reported Royalties	Offshore Gulf	Oil (bbl)	Drip or Scrubber Condensate (bbl)	-318096.25
2012	Reported Royalties	Offshore Gulf	Oil (bbl)	Inlet Scrubber (bbl)	103139.34
2012	Reported Royalties	Offshore Gulf	Oil (bbl)	Oil (bbl)	283321365.69
2012	Reported Royalties	Offshore Gulf	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	119.82
2012	Reported Royalties	Offshore Gulf	Other Products	Salt (ton)	16807.00
2012	Non Revenue Volumes	Offshore Gulf	Gas (mcf)		9405508.18
2012	Non Revenue Volumes	Offshore Gulf	Gas (mcf)		217533338.28
2012	Non Revenue Volumes	Offshore Gulf	Gas (mcf)		378590.16
2012	Non Revenue Volumes	Offshore Gulf	NGL (gal)		5326846.78
2012	Non Revenue Volumes	Offshore Gulf	NGL (gal)		270063816.63
2012	Non Revenue Volumes	Offshore Gulf	NGL (gal)		778530.43
2012	Non Revenue Volumes	Offshore Gulf	Oil (bbl)		11422.10
2012	Non Revenue Volumes	Offshore Gulf	Oil (bbl)		135846101.24
2012	Non Revenue Volumes	Offshore Gulf	Oil (bbl)		382459.87
2011	Reported Royalties	Offshore Gulf	Gas (mcf)	Coal Bed Methane (mcf)	1019.84
2011	Reported Royalties	Offshore Gulf	Gas (mcf)	Flash Gas (mcf)	-3540162.10
2011	Reported Royalties	Offshore Gulf	Gas (mcf)	Fuel Gas (mcf)	8402504.40
2011	Reported Royalties	Offshore Gulf	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	327032.02
2011	Reported Royalties	Offshore Gulf	Gas (mcf)	Processed (Residue) Gas (mcf)	924151787.82
2011	Reported Royalties	Offshore Gulf	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	381563150.61
2011	Reported Royalties	Offshore Gulf	NGL (gal)	Gas Plant Products (gal)	1767591611.76
2011	Reported Royalties	Offshore Gulf	Oil (bbl)	Condensate (bbl)	39873835.04
2011	Reported Royalties	Offshore Gulf	Oil (bbl)	Drip or Scrubber Condensate (bbl)	1192227.37
2011	Reported Royalties	Offshore Gulf	Oil (bbl)	Inlet Scrubber (bbl)	120167.37
2011	Reported Royalties	Offshore Gulf	Oil (bbl)	Oil (bbl)	317097049.17
2011	Reported Royalties	Offshore Gulf	Other Products	Salt (ton)	23485.00
2011	Non Revenue Volumes	Alabama	Gas (mcf)		4219659.80
2011	Non Revenue Volumes	Alabama	NGL (gal)		10684261.90
2012	Reported Royalties	Alabama	Gas (mcf)	Processed (Residue) Gas (mcf)	12359224.43
